26. 0.   5332.8990   -87.2476  0.0105    10.7588  0.0344    -5.0964  0.0036     1.31740 -3.6813    12560.93
26. 0.   5398.2770   -87.7231  0.0005     8.1028  0.0090    -4.6038  0.0019     2.14847 -3.4556    35851.35
26. 0.   5563.6930   -88.1025  0.0043     9.4504  0.0306    -4.8821  0.0028     6.59875 -2.5472    19552.48
26. 0.   5650.7040   -85.9334  0.0034    10.4009  0.0254    -4.2189  0.0021     0.85549 -2.5472    41018.05
26. 0.   5715.1000   -86.6442  0.0021     8.4281  0.0421    -4.3121  0.0037     0.13131 -2.3191    33801.57
26. 0.   5934.6530   -86.5976  0.0021     7.7259  0.0269    -4.8150  0.0029     2.20691 -3.4556    31686.35
26. 0.   6254.2560   -89.7152  0.0005     8.3673  0.0056    -4.6479  0.0004    11.29362 -3.4556    18378.19
26. 0.   6256.3600   -85.7125  0.0023    10.2854  0.0378    -4.8143  0.0026     2.67923 -3.4556    19788.25
26. 1.   4128.7391   -87.9126  0.0031    10.0433  0.0395    -4.8577  0.0074     0.41341 -5.0173    20830.58
26. 1.   4178.8536   -87.3763  0.0007     6.9025  0.0149    -5.2394  0.0029     0.84432 -6.0369    20830.58
26. 1.   4233.1621   -86.9238  0.0002     8.7598  0.0028    -4.6708  0.0008    55.17784 -6.5414    20830.58
26. 1.   4303.1700   -87.9264  0.0019     8.2483  0.0267    -4.7263  0.0116     9.82470 -5.8528    21812.06
26. 1.   4515.3330   -85.5997  0.0002     7.8646  0.0033    -4.8781  0.0018     6.85083 -5.8528    22939.36
26. 1.   4541.5156   -87.0613  0.0000     6.8930  0.0012    -5.0589  0.0001    25.87803 -5.6551    23031.30
26. 1.   4576.3329   -87.0768  0.0012     7.3990  0.0443    -5.0306  0.0044     1.73371 -5.4479    22939.36
26. 1.   4635.3169   -87.3570  0.0017     5.5420  0.0467    -4.5998  0.0050     0.21683 -3.6813    48039.09
26. 1.   4923.9216   -87.2094  0.0012    10.8160  0.0080    -4.6568  0.0023     9.19157 -6.6818    23317.63
26. 1.   5001.9529   -92.7368  0.0015     8.7143  0.0186    -3.0145  0.0041     3.40477 -2.3191    82853.70
26. 1.   5004.1880   -83.7664  0.0073    11.3988  0.0330    -3.6383  0.0029     0.41491 -1.6339    82857.34
26. 1.   5018.4354   -87.1130  0.0007    10.5793  0.0136    -4.4961  0.0018     8.51373 -6.6818    23317.63
26. 1.   5030.6317   -84.9747  0.0005     9.3521  0.0037    -3.9878  0.0002     9.14784 -1.6339    82978.32
26. 1.   5169.0282   -87.0150  0.0003     9.7260  0.0041    -4.4593  0.0006    52.44127 -6.6818    23317.63
26. 1.   5247.9557   -87.5594  0.0023     7.3568  0.0616    -3.9260  0.0026     1.43683 -1.4054    84938.25
26. 1.   5260.2543   -85.7789  0.0030     9.0553  0.0578    -4.1703  0.0052     2.95813 -2.3191    84034.91
26. 1.   5284.1030   -87.2438  0.0023     8.2465  0.0165    -4.8900  0.0049     3.26409 -5.4479    23317.63
26. 1.   5414.0698   -86.7362  0.0023     9.2957  0.0082    -4.7718  0.0006     0.93789 -4.3539    25981.63
26. 1.   5425.2485   -87.2783  0.0009     8.2376  0.0057    -5.0206  0.0006     1.05628 -5.0173    25805.33
26. 1.   5465.9322   -87.5878  0.0033     7.2692  0.0603    -3.6951  0.0068     0.77928 -1.1768    85679.76
26. 1.   5482.3055   -88.9299  0.0027     9.6407  0.0110    -3.2013  0.0013     1.17139 -1.4054    85188.28
26. 1.   5487.6176   -83.1517  0.0012    10.4041  0.0138    -2.3703  0.0017     9.01165 -1.1768    85462.51
26. 1.   5506.1985   -88.6350  0.0056     8.9999  0.0633    -4.0026  0.0069     0.61878 -2.0908    84865.66
26. 1.   6147.7341   -87.4613  0.0015     9.5666  0.0092    -4.5450  0.0013     4.14452 -4.5764    31364.44
26. 1.   6442.9579   -87.5892  0.0027    10.4038  0.0242    -3.9141  0.0045     5.21868 -3.0023    44753.80
26. 1.   6456.3796   -87.1868  0.0023    10.4224  0.0257    -4.8932  0.0057     0.53031 -5.4479    31483.18
